194,186,187
186,194,200
66,61,48
2,7,0
29,13,25
51,33,48
61,51,48
69,51,61
196,202,204
192,186,200
192,181,186
202,192,200
196,192,202
74,83,65
167,165,179
117,125,135
198,205,203
3,11,5
13,19,8
29,19,13
51,37,33
37,51,45
29,37,45
33,37,25
37,29,25
185,196,191
192,185,181
185,192,196
199,196,204
196,199,191
199,204,206
143,134,150
130,139,146
59,65,49
59,74,65
152,167,151
152,165,167
108,117,99
108,125,117
111,94,104
193,203,201
193,198,203
198,193,189
188,183,195
15,9,5
11,15,5
15,11,22
30,21,39
44,30,39
1,6,3
6,11,3
36,34,24
8,16,4
19,16,8
139,157,146
185,172,181
197,198,189
184,197,189
197,199,206
197,184,191
199,197,191
205,197,206
198,197,205
134,126,116
143,126,134
126,143,136
168,166,178
181,173,186
92,82,100
123,139,130
123,113,106
113,123,130
59,67,74
152,133,144
120,111,129
84,67,76
67,84,74
113,96,106
96,113,104
79,87,70
94,87,104
87,96,104
96,87,79
62,79,70
190,183,176
190,193,201
195,190,201
183,190,195
174,183,188
174,188,179
165,174,179
162,157,171
157,162,146
170,182,176
182,190,176
190,182,193
193,182,189
160,170,176
121,113,130
113,121,104
111,121,129
121,111,104
28,15,22
14,27,24
27,36,24
30,18,21
18,30,22
11,18,22
6,18,11
10,6,1
18,10,21
10,18,6
10,1,0
7,10,0
34,50,49
36,50,34
50,59,49
50,67,59
43,50,36
43,27,35
27,43,36
77,60,70
77,94,86
87,77,70
77,87,94
131,124,141
123,131,139
51,58,45
58,51,69
12,2,4
16,12,4
12,7,2
41,29,45
148,131,141
148,157,139
131,148,139
157,163,171
148,163,157
180,185,191
180,172,185
180,163,172
163,180,171
180,184,171
184,180,191
168,177,161
177,173,161
187,177,178
177,168,178
186,177,187
173,177,186
172,164,181
164,173,181
128,140,122
112,128,122
147,128,136
128,147,140
140,132,122
124,132,141
92,109,102
126,109,116
116,109,100
109,92,100
75,69,61
92,75,82
75,66,82
75,61,66
119,112,102
109,119,102
119,109,126
119,126,136
128,119,136
119,128,112
78,58,69
118,133,125
108,118,125
142,152,151
142,133,152
133,142,125
142,151,135
125,142,135
137,154,144
137,120,129
120,127,110
127,118,110
118,127,133
137,127,120
133,127,144
127,137,144
103,94,111
120,103,111
94,103,86
103,120,110
93,84,76
93,76,86
103,93,86
93,103,110
84,91,74
91,108,99
83,91,99
74,91,83
88,98,106
96,88,106
88,96,79
54,62,44
54,44,39
62,71,79
71,88,79
71,54,63
54,71,62
62,53,44
60,53,70
53,62,70
169,160,176
160,169,154
183,169,176
174,169,183
162,155,146
155,162,170
160,155,170
162,175,170
182,175,189
175,182,170
175,162,171
184,175,171
175,184,189
28,20,15
20,27,14
20,28,35
27,20,35
9,20,14
15,20,9
77,68,60
76,68,86
68,77,86
52,43,35
68,52,60
50,57,67
43,57,50
67,57,76
57,68,76
52,57,43
57,52,68
115,131,123
98,115,106
115,123,106
131,115,124
90,73,80
97,90,80
12,17,7
17,10,7
10,17,21
26,16,19
26,19,29
41,26,29
73,64,80
153,168,161
147,153,161
168,153,166
143,153,136
153,147,136
166,153,150
153,143,150
163,158,172
158,164,172
158,148,141
158,163,148
173,156,161
164,156,173
156,147,161
147,156,140
75,85,69
85,78,69
85,92,102
85,75,92
89,97,80
93,101,84
101,118,108
118,101,110
101,93,110
91,101,108
101,91,84
88,81,98
81,90,98
90,81,73
73,81,63
81,71,63
71,81,88
38,30,44
53,38,44
30,38,22
38,28,22
169,159,154
154,159,144
159,174,165
159,169,174
159,152,144
152,159,165
145,160,154
145,155,160
145,137,129
137,145,154
138,121,130
138,130,146
155,138,146
145,138,155
121,138,129
138,145,129
115,107,124
107,90,97
107,115,98
90,107,98
23,12,16
23,17,12
55,73,63
55,64,73
64,72,80
72,89,80
89,72,78
78,72,58
149,132,140
156,149,140
132,149,141
149,158,141
158,149,164
149,156,164
95,89,78
112,95,102
95,85,102
85,95,78
105,112,122
89,105,97
105,95,112
95,105,89
42,38,53
42,53,60
52,42,60
42,52,35
28,42,35
38,42,28
107,114,124
114,107,97
132,114,122
114,132,124
114,105,122
105,114,97
23,31,17
21,31,39
17,31,21
54,47,63
47,55,63
47,54,39
31,47,39
26,32,16
32,23,16
32,26,41
56,72,64
56,41,45
58,56,45
72,56,58
46,32,41
55,46,64
56,46,41
46,56,64
40,31,23
32,40,23
40,47,31
47,40,55
40,46,55
46,40,32
