15311,15448,15299
16257,16302,16389
2252,2123,2248
2789,2790,2692
9461,9611,9513
13939,13815,13868
13815,13939,13878
13765,13826,13705
4317,4254,4192
4254,4317,4375
4254,4129,4192
4129,4254,4189
2537,2531,2387
2675,2537,2678
2675,2531,2537
2531,2675,2663
16167,16207,16302
16257,16167,16302
2123,2131,2000
2252,2131,2123
2765,2904,2836
2691,2765,2836
8941,9020,8862
15201,15018,15106
15018,15010,15106
17714,17751,17750
17708,17714,17750
17747,17708,17750
17708,17747,17702
9545,9611,9461
9321,9399,9246
11358,11454,11512
11454,11358,11300
13106,13039,13165
12873,12734,12791
12734,12873,12824
12336,12489,12428
13993,13939,13868
13939,13993,14061
14178,14049,14113
14002,13939,14061
13939,14002,13878
13926,13993,13868
13993,13926,14049
13735,13614,13672
13614,13735,13679
13765,13888,13826
13888,13765,13823
13765,13695,13823
13130,13197,13067
13633,13506,13566
13826,13949,13889
13949,14014,13889
13949,13888,14013
13888,13949,13826
14148,14077,14204
14280,14148,14204
14361,14418,14295
14418,14349,14295
14349,14418,14471
15450,15360,15498
4566,4634,4692
4634,4566,4507
4317,4441,4375
4566,4441,4507
13201,13340,13280
12924,13065,13012
12924,12873,12791
12873,12924,13012
4010,4067,3942
4129,4067,4192
3818,3885,3942
3885,4010,3942
16338,16257,16389
16468,16338,16389
16338,16468,16417
15311,15399,15448
15399,15568,15448
14531,14470,14395
14460,14531,14395
14531,14460,14593
14257,14128,14188
14320,14257,14188
14320,14378,14455
2518,2531,2663
2675,2817,2663
2765,2817,2904
2817,2765,2663
16566,16630,16697
16207,16060,16112
16167,16060,16207
3040,2975,3112
2975,3047,3112
2904,2975,2836
3047,2975,2904
2756,2691,2836
2691,2756,2603
3047,3182,3112
3247,3182,3317
3182,3247,3112
3179,3040,3112
3247,3179,3112
3179,3247,3312
3312,3445,3377
2254,2131,2252
2806,2837,2683
241,180,164
180,241,265
2011,1871,2000
2131,2011,2000
8711,8557,8637
8557,8711,8635
9769,9849,9691
9604,9525,9683
10950,10914,11080
12018,11946,11864
10314,10390,10470
10390,10314,10235
13826,13769,13705
13769,13826,13889
6848,6777,6939
6777,6848,6684
2790,2609,2692
9446,9528,9608
9453,9364,9277
9185,9096,9272
9020,9096,9185
9096,9020,8941
17556,17475,17496
17574,17556,17496
14648,14543,14679
15307,15323,15454
15410,15307,15454
13810,13933,13897
12410,12317,12424
12410,12284,12317
12284,12410,12411
12317,12250,12424
11447,11531,11602
15821,15969,15915
12916,12785,12846
12977,12916,12846
12977,13039,13106
13944,13886,13821
13023,13146,13086
13886,14008,13951
14008,13886,13944
17395,17471,17493
16861,16920,16802
16920,16861,16978
16861,16922,16978
16922,16861,16805
17753,17717,17756
17747,17745,17702
17708,17666,17714
17652,17666,17602
17666,17652,17714
16613,16496,16517
17688,17709,17657
17709,17699,17657
17699,17709,17742
17685,17701,17647
17701,17688,17647
17640,17699,17692
17640,17591,17657
17699,17640,17657
17744,17746,17692
17699,17744,17692
17744,17699,17742
17435,17357,17413
17357,17435,17451
17322,17394,17413
17217,17322,17255
17322,17357,17255
17357,17322,17413
17248,17135,17210
17174,17248,17280
17174,17135,17248
9390,9545,9461
9168,9321,9246
9091,9015,8940
9091,9168,9015
9611,9662,9513
7684,7531,7587
7740,7684,7587
7128,7234,7088
13166,13096,13035
13567,13640,13714
13229,13166,13295
13166,13229,13096
11100,11015,11171
10891,10991,11044
11146,10991,11078
10991,11146,11044
6822,6935,6779
11097,11193,11260
11161,11097,11260
11324,11161,11260
11232,11146,11078
11161,11232,11078
11232,11161,11324
11146,11232,11300
11538,11480,11642
11480,11576,11642
12644,12576,12504
12570,12644,12504
13233,13106,13165
12370,12297,12219
12704,12774,12640
12836,12774,12704
12774,12836,12907
13039,13099,13165
13099,13039,12970
13214,13152,13086
13146,13214,13086
13039,12911,12970
12776,12911,12846
12911,12977,12846
12977,12911,13039
13730,13606,13668
13340,13417,13280
12653,12573,12713
12489,12573,12428
12788,12653,12713
12509,12590,12444
12638,12775,12713
12573,12638,12713
12638,12573,12489
13008,12956,12882
12336,12180,12228
12734,12651,12791
12590,12651,12734
12651,12590,12509
12353,12509,12444
12291,12353,12444
12353,12291,12197
11887,12042,11985
11919,11834,11985
11834,11887,11985
12291,12385,12228
12385,12336,12228
12336,12385,12489
12385,12291,12444
13880,13754,13813
13880,14003,13948
14117,13993,14049
14178,14117,14049
13993,14117,14061
14241,14178,14113
14162,14241,14113
14241,14162,14293
14036,14162,14113
14162,14036,14094
14036,13966,14094
13966,14036,13913
13838,13706,13771
13522,13574,13452
13574,13522,13648
13571,13694,13636
13571,13450,13508
13450,13384,13508
13203,13138,13264
13555,13614,13679
13614,13547,13672
13444,13565,13508
13384,13444,13508
13444,13384,13320
13380,13444,13320
13815,13749,13868
13755,13815,13878
13795,13735,13672
13723,13795,13672
13735,13802,13679
13802,13749,13679
13802,13926,13868
13749,13802,13868
13863,13795,13913
13795,13863,13735
13802,13863,13926
13863,13802,13735
13119,13061,12990
13061,13119,13186
13132,13061,13186
13243,13119,13172
13119,13243,13186
13637,13695,13765
13637,13765,13705
13506,13445,13381
13315,13253,13187
13253,13315,13381
14020,14077,14148
14014,13953,13889
14077,13953,14014
13953,14020,13899
14020,13953,14077
14331,14280,14204
14280,14220,14148
14220,14361,14295
14220,14280,14361
14784,14875,14931
14875,14784,14731
14481,14418,14361
16122,16047,16190
16047,16122,15977
15703,15769,15843
15762,15698,15616
15698,15553,15616
17472,17436,17527
17528,17491,17582
15253,15173,15109
15541,15392,15473
15392,15541,15464
16614,16681,16544
16480,16614,16544
16614,16480,16547
16208,16140,16281
16823,16756,16880
16823,16942,16887
16942,16823,16880
15360,15364,15498
15663,15732,15806
14396,14469,14341
14077,14137,14204
14137,14077,14014
14209,14266,14339
14266,14209,14138
14708,14770,14639
15066,14985,15137
14985,15066,14915
4055,3985,3933
4625,4566,4692
4634,4761,4692
3885,3762,3829
3762,3885,3818
3752,3685,3624
3752,3691,3818
3691,3762,3818
